,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
9,13,Hurts in the Brown Bachs,2,9,5,0,64.29,1710.24,1417.11,11,12,12,35,1
2,3,The Annexation  of Puerto Rico,3,9,5,0,64.29,1598.33,1438.87,10,11,11,32,2
3,4,Christian Sunday Service,6,7,7,0,50.0,1563.4,1505.78,7,10,11,28,3
1,2,Murican Futball Crusaders,1,10,4,0,71.43,1494.9,1374.88,12,6,9,27,4
11,15,Moose,4,9,5,0,64.29,1536.3,1437.0,9,8,7,24,5
7,11,Lucy in the Sky w/ Draft Picks,7,7,7,0,50.0,1547.91,1423.07,6,9,8,23,6
8,12,Nothing to CTE Here,8,6,8,0,42.86,1517.38,1514.02,5,7,6,18,7
0,1,Vonnies Chubbies,9,6,8,0,42.86,1414.09,1522.63,4,5,5,14,8
10,14,Purple Reign,5,8,6,0,57.14,1337.58,1415.86,8,2,2,12,9
5,8,Camacho's Commanders,11,5,9,0,35.71,1396.0,1548.48,2,4,4,10,10
6,10,Show me your TDs,10,6,8,0,42.86,1388.92,1490.9,3,3,3,9,11
4,5,Blondes Give Me A Chubb,12,2,12,0,14.29,1226.33,1642.78,1,1,1,3,12
